City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Codo,BR,-4.4553,-43.8856,72.18,99,50,2.55,scattered clouds
329,Eyl,SO,7.9803,49.8164,73.15,74,38,12.77,scattered clouds
330,Bengkulu,ID,-3.8004,102.2655,84.36,64,70,3.36,broken clouds
331,Jati,PK,24.3539,68.2671,59.22,24,0,8.81,clear sky
332,Skala,PL,50.2305,19.8536,26.06,85,100,8.05,overcast clouds
333,San Blas,MX,21.5167,-105.2667,69.12,90,34,2.62,scattered clouds
334,Castrillon,ES,43.3979,-6.7922,36.14,79,0,2.73,clear sky
335,Yangambi,CD,0.8102,24.4336,67.93,71,72,2.26,broken clouds
336,Carutapera,BR,-1.195,-46.02,76.55,88,93,5.7,overcast clouds
337,Zhangjiakou,CN,40.81,114.8794,25.27,69,10,2.71,clear sky
338,Bosaso,SO,11.2842,49.1816,75.18,83,20,0.0,few clouds
339,Bud,US,39.447,-86.1758,28.42,71,37,7.63,scattered clouds
340,Flinders,AU,-34.5833,150.8552,77.81,63,51,8.1,broken clouds
341,Wajima,JP,37.4,136.9,41.68,65,0,5.75,clear sky
342,Roald,NO,62.5833,6.1333,47.08,76,38,20.71,scattered clouds
343,Hokitika,NZ,-42.7167,170.9667,64.51,66,8,9.08,clear sky
